dataset,comparison,scope,metric,n,a_mean,b_mean,delta,ci_lo,ci_hi,p,verdict,p_bh,verdict_bh
amazon,HMT-HM[llama1b],cold_start_item,ndcg@5,148,0.3851391423837702,0.38975408467092654,-0.004614942287156305,-0.02703077271135605,0.017853636902139643,0.666,ns,0.75645,ns
amazon,HMT-HM[llama1b],cold_start_item,hr@5,148,0.5878378378378378,0.6148648648648649,-0.02702702702702703,-0.07432432432432433,0.02027027027027027,0.3096,ns,0.5804999999999999,ns
amazon,HMT-HM[llama1b],evolving_interest,ndcg@5,131,0.40941866413829375,0.41220447535496646,-0.0027858112166727522,-0.04036162393667403,0.03206791801992131,0.9068,ns,0.9489767441860466,ns
amazon,HMT-HM[llama1b],evolving_interest,hr@5,131,0.6259541984732825,0.6106870229007634,0.015267175572519083,-0.03816793893129771,0.06870229007633588,0.6644,ns,0.7666153846153846,ns
amazon,HMT-HM[llama1b],POOLED,ndcg@5,795,0.37489324129877705,0.3806532815721685,-0.0057600402733914285,-0.01725615626235871,0.005576089919305589,0.3276,ns,0.5083448275862069,ns
amazon,HMT-HM[llama1b],POOLED,hr@5,795,0.5823899371069182,0.5937106918238994,-0.011320754716981131,-0.03522012578616352,0.011320754716981131,0.3556,ns,0.5888571428571429,ns
amazon,HMT-HM[llama3b],classic,ndcg@5,376,0.3247010455296298,0.3962305954267665,-0.07152954989713661,-0.10798605420304334,-0.035350178196404,0.0,hurts*,0.0,hurts*
amazon,HMT-HM[llama3b],classic,hr@5,376,0.5079787234042553,0.6117021276595744,-0.10372340425531915,-0.15691489361702127,-0.05053191489361702,0.0,hurts*,0.0,hurts*
amazon,HMT-HM[llama3b],cold_start_user,ndcg@5,140,0.31461071301090743,0.3769631441872298,-0.0623524311763224,-0.12474312337215428,0.0010148441570420968,0.0528,ns,0.132,ns
amazon,HMT-HM[llama3b],cold_start_user,hr@5,140,0.4928571428571429,0.5928571428571429,-0.1,-0.19285714285714287,-0.007142857142857143,0.0392,hurts*,0.11025,ns
amazon,HMT-HM[llama3b],cold_start_item,ndcg@5,148,0.2995984829385232,0.40391195380578776,-0.10431347086726452,-0.17113248682413876,-0.04156094718205606,0.0016,hurts*,0.009000000000000001,hurts*
amazon,HMT-HM[llama3b],cold_start_item,hr@5,148,0.49324324324324326,0.6216216216216216,-0.12837837837837837,-0.21621621621621623,-0.04054054054054054,0.0048,hurts*,0.018,hurts*
amazon,HMT-HM[llama3b],evolving_interest,ndcg@5,131,0.31773877535566586,0.4236727829904053,-0.10593400763473938,-0.17583253595584608,-0.03915242923213952,0.0032,hurts*,0.014400000000000001,hurts*
amazon,HMT-HM[llama3b],evolving_interest,hr@5,131,0.48091603053435117,0.6335877862595419,-0.15267175572519084,-0.24427480916030533,-0.061068702290076333,0.0012,hurts*,0.005399999999999999,hurts*
amazon,HMT-HM[llama3b],POOLED,ndcg@5,795,0.3171037081599516,0.3987894940901585,-0.08168578593020692,-0.10783450564482015,-0.056142991657730665,0.0,hurts*,0.0,hurts*
amazon,HMT-HM[llama3b],POOLED,hr@5,795,0.4981132075471698,0.6138364779874214,-0.11572327044025157,-0.15345911949685534,-0.0779874213836478,0.0,hurts*,0.0,hurts*
amazon,HMT-HM[llama8b],classic,ndcg@5,376,0.4180967608096026,0.4282181875605289,-0.010121426750926256,-0.05086026978431346,0.03208525088201741,0.6632,ns,0.75645,ns
amazon,HMT-HM[llama8b],classic,hr@5,376,0.598404255319149,0.6223404255319149,-0.023936170212765957,-0.08244680851063829,0.031914893617021274,0.4148,ns,0.6154838709677419,ns
amazon,HMT-HM[llama8b],cold_start_user,ndcg@5,140,0.41225029536430535,0.41597823492037966,-0.003727939556074362,-0.06597602399779166,0.05738517745439451,0.8956,ns,0.9489767441860466,ns
amazon,HMT-HM[llama8b],cold_start_user,hr@5,140,0.5785714285714286,0.6214285714285714,-0.04285714285714286,-0.12857142857142856,0.04285714285714286,0.3664,ns,0.5888571428571429,ns
amazon,HMT-HM[llama8b],cold_start_item,ndcg@5,148,0.40385249804204504,0.4470907900227159,-0.04323829198067094,-0.10789709490438733,0.019781173362186155,0.1756,ns,0.32925,ns
amazon,HMT-HM[llama8b],cold_start_item,hr@5,148,0.581081081081081,0.6283783783783784,-0.0472972972972973,-0.13513513513513514,0.04054054054054054,0.3308,ns,0.5888571428571429,ns
